[8407911701/qynxh, 8374911602/izhtr, 8406911698/mkazo, 8436911788/oggkg, 8463911869/lglsj, 8464911872/iydzg, 8448911824/gwgvf, 8429911767/aewov, 8378911614/lqcty, 8423911749/uxval] original
[8407911701/qynxh, 8374911602/izhtr, 8464911872/iydzg, 8448911824/gwgvf, 8378911614/lqcty, 8429911767/aewov, 8406911698/mkazo, 8436911788/oggkg, 8463911869/lglsj, 8423911749/uxval] d=10
[8407911701/qynxh, 8374911602/izhtr, 8378911614/lqcty, 8448911824/gwgvf, 8423911749/uxval, 8429911767/aewov, 8463911869/lglsj, 8464911872/iydzg, 8436911788/oggkg, 8406911698/mkazo] d=9
[8374911602/izhtr, 8378911614/lqcty, 8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg] d=8
[8374911602/izhtr, 8378911614/lqcty, 8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg] d=7
[8374911602/izhtr, 8378911614/lqcty, 8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg] d=6
[8374911602/izhtr, 8378911614/lqcty, 8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg] d=5
[8423911749/uxval, 8463911869/lglsj, 8374911602/izhtr, 8464911872/iydzg, 8406911698/mkazo, 8436911788/oggkg, 8407911701/qynxh, 8378911614/lqcty, 8448911824/gwgvf, 8429911767/aewov] d=4
[8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg, 8374911602/izhtr, 8378911614/lqcty] d=3
[8374911602/izhtr, 8378911614/lqcty, 8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg] d=2
[8374911602/izhtr, 8378911614/lqcty, 8406911698/mkazo, 8407911701/qynxh, 8423911749/uxval, 8429911767/aewov, 8436911788/oggkg, 8448911824/gwgvf, 8463911869/lglsj, 8464911872/iydzg] d=1
